idols,name,kana,lat,lon
"双海亜美,双海真美",二海郡八雲町栄町,ふたみぐんやくもちょう さかえちょう,42.252879,140.255527
"双海亜美,双海真美",二海郡八雲町栄浜,ふたみぐんやくもちょう さかえはま,42.175772,140.453726
"双海亜美,双海真美",二海郡八雲町桜野,ふたみぐんやくもちょう さくらの,42.131262,140.280749
"双海亜美,双海真美",二海郡八雲町東雲町,ふたみぐんやくもちょう しののめちょう,42.253494,140.280476
"双海亜美,双海真美",二海郡八雲町下の湯,ふたみぐんやくもちょう しものゆ,42.168614,140.396962
"双海亜美,双海真美",二海郡八雲町末広町,ふたみぐんやくもちょう すえひろちょう,42.255121,140.267973
"双海亜美,双海真美",二海郡八雲町住初町,ふたみぐんやくもちょう すみぞめちょう,42.257883,140.262705
"双海亜美,双海真美",二海郡八雲町立岩,ふたみぐんやくもちょう たていわ,42.268815,140.26043
"双海亜美,双海真美",二海郡八雲町富咲,ふたみぐんやくもちょう とみさき,42.297249,140.156547
"双海亜美,双海真美,豊川風花",二海郡八雲町豊河町,ふたみぐんやくもちょう とよかわちょう,42.26231,140.276563
"双海亜美,双海真美",二海郡八雲町鉛川,ふたみぐんやくもちょう なまりかわ,42.274158,140.19536
"双海亜美,双海真美",二海郡八雲町野田生,ふたみぐんやくもちょう のだおい,42.216915,140.378979
"双海亜美,双海真美",二海郡八雲町花浦,ふたみぐんやくもちょう はなうら,42.290189,140.260971
"双海亜美,双海真美",二海郡八雲町浜松,ふたみぐんやくもちょう はままつ,42.238158,140.301099
"双海亜美,双海真美",二海郡八雲町東野,ふたみぐんやくもちょう ひがしの,42.21338,140.391899
"双海亜美,双海真美",二海郡八雲町東町,ふたみぐんやくもちょう ひがしちょう,42.259052,140.272408
"双海亜美,双海真美",二海郡八雲町富士見町,ふたみぐんやくもちょう ふじみちょう,42.255309,140.275
"双海亜美,双海真美",二海郡八雲町本町,ふたみぐんやくもちょう ほんちょう,42.2549,140.271774
"双海亜美,双海真美",二海郡八雲町三杉町,ふたみぐんやくもちょう みすぎちょう,42.246564,140.281861
"双海亜美,双海真美",二海郡八雲町緑町,ふたみぐんやくもちょう みどりちょう,42.24478,140.265986
"双海亜美,双海真美",二海郡八雲町宮園町,ふたみぐんやくもちょう みやぞのちょう,42.251802,140.262727
"双海亜美,双海真美",二海郡八雲町元町,ふたみぐんやくもちょう もとまち,42.259816,140.267173
"双海亜美,双海真美",二海郡八雲町山越,ふたみぐんやくもちょう やまこし,42.229889,140.327967
"双海亜美,双海真美",二海郡八雲町わらび野,ふたみぐんやくもちょう わらびの,42.144923,140.291726
"双海亜美,双海真美",二海郡八雲町山崎,ふたみぐんやくもちょう やまざき,42.312204,140.274821
"菊地真,豊川風花",虻田郡真狩村字豊川,あぶたぐんまっかりむら ,42.723116,140.801779
"春日未来,所恵美",常呂郡置戸町字春日,ところぐんおけとちょう ,43.594674,143.503396
"菊地真,豊川風花",勇払郡厚真町字豊川,ゆうふつぐんあつまちょう ,42.697493,141.835209
"田中琴葉,馬場このみ",黒石市大字北田中馬場尻中道東,くろいしし ,40.674105,140.590987
"田中琴葉,馬場このみ",黒石市大字北田中馬場尻中道西,くろいしし ,40.671231,140.591939
"田中琴葉,馬場このみ",黒石市大字北田中馬場尻道下,くろいしし ,40.672007,140.591277
"所恵美,福田のり子",五所川原市大字鶴ケ岡福田,ごしょがわらし ,40.844963,140.428357
"菊地真,北上麗花",北上市和賀町岩崎新田真栄,きたかみし わがちょういわさきしんでん,39.260286,141.00741
"福田のり子,北上麗花",北上市稲瀬町福田地,きたかみし いなせちょう,39.261564,141.156361
"菊地真,北上麗花",北上市口内町真木沢,きたかみし くちないちょう,39.282928,141.237582
